;Column Labels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1;;603;;606;;612;;614;;617;;619;;624;;644;;645;;646;;647;;650;;661;;669;;670;;678;;692;;694;;695;;701;;702;;703;;708;;709;;711;;714;;715;;730;;732;;744;;745;;747;;762;;763;;764;;765;;Total Min of 06:57:55;Total Max of 06:57:55_2
Row Labels;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;Min of 06:57:55;Max of 06:57:55_2;;
01/01/2024;08:10 Õ;05:18 ã;09:03 Õ;05:08 ã;11:49 Õ;08:03 ã;;;09:00 Õ;05:06 ã;07:57 Õ;07:28 ã;08:08 Õ;06:48 ã;10:26 Õ;08:02 ã;11:34 Õ;08:02 ã;08:15 Õ;06:22 ã;07:52 Õ;06:48 ã;10:16 Õ;07:11 ã;08:18 Õ;06:48 ã;;;09:52 Õ;05:46 ã;08:11 Õ;05:20 ã;10:28 Õ;05:59 ã;;;08:18 Õ;06:32 ã;07:53 Õ;05:05 ã;08:08 Õ;05:19 ã;09:02 Õ;05:18 ã;08:25 Õ;06:05 ã;;;08:14 Õ;06:32 ã;09:34 Õ;06:32 ã;;;07:53 Õ;05:05 ã;08:55 Õ;05:41 ã;09:54 Õ;04:03 ã;08:27 Õ;05:09 ã;08:35 Õ;05:06 ã;11:46 Õ;06:10 ã;08:32 Õ;04:03 ã;05:03 ã;05:03 ã;11:48 Õ;05:08 ã;09:47 Õ;05:04 ã;07:52 Õ;08:03 ã
02/01/2024;08:14 Õ;05:35 ã;08:18 Õ;05:56 ã;11:09 Õ;08:42 ã;;;08:58 Õ;05:07 ã;08:12 Õ;06:28 ã;09:07 Õ;06:35 ã;11:59 Õ;06:53 ã;12:27 ã;08:42 ã;08:30 Õ;05:35 ã;08:07 Õ;06:14 ã;10:21 Õ;06:53 ã;08:15 Õ;05:16 ã;;;10:27 Õ;07:27 ã;08:15 Õ;05:13 ã;10:18 Õ;07:12 ã;;;08:11 Õ;05:35 ã;08:44 Õ;08:44 Õ;08:07 Õ;05:40 ã;08:54 Õ;05:14 ã;08:30 Õ;05:19 ã;;;08:33 Õ;05:35 ã;09:08 Õ;05:35 ã;;;08:44 Õ;08:44 Õ;10:06 Õ;05:44 ã;09:11 Õ;04:01 ã;08:28 Õ;04:58 ã;09:31 Õ;05:51 ã;10:53 Õ;07:53 ã;;;;;08:39 Õ;04:34 ã;08:07 Õ;05:04 ã;08:07 Õ;08:42 ã
03/01/2024;08:45 Õ;05:49 ã;08:09 Õ;06:04 ã;11:10 Õ;06:39 ã;;;08:59 Õ;05:07 ã;08:18 Õ;06:09 ã;08:36 Õ;06:45 ã;11:17 Õ;06:12 ã;10:47 Õ;09:14 ã;08:30 Õ;05:48 ã;08:20 Õ;05:54 ã;10:22 Õ;07:11 ã;08:17 Õ;06:00 ã;01:20 ã;05:47 ã;10:37 Õ;07:16 ã;08:06 Õ;05:29 ã;09:59 Õ;06:08 ã;;;08:19 Õ;05:34 ã;08:13 Õ;08:13 Õ;08:04 Õ;05:09 ã;09:17 Õ;05:48 ã;08:31 Õ;05:35 ã;;;08:30 Õ;05:49 ã;08:30 Õ;05:49 ã;;;;;09:42 Õ;05:40 ã;09:47 Õ;04:07 ã;08:35 Õ;05:03 ã;09:40 Õ;04:01 ã;10:45 Õ;06:12 ã;08:22 Õ;05:13 ã;07:03 Õ;05:01 ã;;;07:31 Õ;05:35 ã;07:03 Õ;09:14 ã
04/01/2024;08:09 Õ;05:00 ã;08:14 Õ;06:05 ã;11:47 Õ;08:30 ã;;;08:55 Õ;05:09 ã;08:13 Õ;04:18 ã;09:20 Õ;07:15 ã;10:51 Õ;06:57 ã;11:45 Õ;08:29 ã;08:32 Õ;05:30 ã;07:50 Õ;06:12 ã;09:50 Õ;03:38 ã;08:29 Õ;05:58 ã;01:56 ã;06:08 ã;10:19 Õ;08:29 ã;08:13 Õ;05:38 ã;10:04 Õ;06:13 ã;;;08:50 Õ;05:34 ã;;;08:25 Õ;03:19 ã;08:46 Õ;05:37 ã;08:37 Õ;05:27 ã;;;08:32 Õ;08:32 Õ;08:29 Õ;05:34 ã;;;;;09:53 Õ;06:02 ã;09:30 Õ;04:18 ã;09:38 Õ;05:18 ã;08:10 Õ;05:40 ã;;;08:22 Õ;04:23 ã;07:22 Õ;04:42 ã;08:20 Õ;06:08 ã;10:01 Õ;05:07 ã;07:22 Õ;08:30 ã
06/01/2024;09:35 Õ;09:35 Õ;;;02:14 ã;10:53 ã;;;;;;;;;10:41 Õ;08:27 ã;;;09:40 Õ;09:40 Õ;09:35 Õ;09:38 Õ;;;;;;;;;;;;;;;09:35 Õ;09:35 Õ;;;;;10:42 Õ;10:42 Õ;;;;;09:35 Õ;09:35 Õ;09:35 Õ;09:35 Õ;;;;;;;;;;;;;;;;;;;;;;;09:35 Õ;10:53 ã
07/01/2024;08:15 Õ;04:53 ã;;;;;;;;;;;08:14 Õ;05:26 ã;10:31 Õ;07:02 ã;;;08:22 Õ;04:54 ã;07:46 Õ;05:01 ã;;;08:09 Õ;05:01 ã;;;;;;;;;;;08:07 Õ;04:54 ã;;;;;;;;;;;08:07 Õ;05:19 ã;08:19 Õ;04:54 ã;;;;;;;;;;;;;;;;;;;;;;;07:46 Õ;07:02 ã
08/01/2024;08:11 Õ;08:11 Õ;09:03 Õ;04:58 ã;12:56 ã;07:34 ã;;;09:05 Õ;09:05 Õ;08:07 Õ;08:07 Õ;09:47 Õ;04:58 ã;11:03 Õ;05:01 ã;11:46 Õ;08:27 ã;08:27 Õ;08:27 Õ;08:00 Õ;04:58 ã;11:03 Õ;08:26 ã;;;11:40 Õ;11:40 Õ;09:42 Õ;07:13 ã;;;12:40 ã;06:06 ã;;;08:09 Õ;08:09 Õ;;;08:49 Õ;08:49 Õ;09:04 Õ;09:04 Õ;08:43 Õ;08:43 Õ;;;08:01 Õ;08:01 Õ;;;;;10:53 Õ;07:44 ã;10:00 Õ;01:44 ã;09:55 Õ;09:55 Õ;08:27 Õ;08:27 Õ;09:41 Õ;09:41 Õ;11:40 Õ;06:33 ã;;;07:13 Õ;04:54 ã;08:25 Õ;08:25 Õ;07:29 Õ;07:29 Õ;07:13 Õ;08:27 ã
